name,ingredients,prep_time,cook_time,flavor_profile
Balu shahi,"Maida flour, yogurt, oil, sugar",45,25,sweet
Boondi,"Gram flour, ghee, sugar",80,30,sweet
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",15,60,sweet
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",15,30,sweet
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",15,40,sweet
Imarti,"Sugar syrup, lentil flour",10,50,sweet
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",10,50,sweet
Kaju katli,"Cashews, ghee, cardamom, sugar",10,20,sweet
Kalakand,"Milk, cottage cheese, sugar",20,30,sweet
Kheer,"Milk, rice, sugar, dried fruits",10,40,sweet
Laddu,"Gram flour, ghee, sugar",10,40,sweet
Lassi,"Yogurt, milk, nuts, sugar",5,5,sweet
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",20,30,sweet
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",10,30,sweet
Phirni,"Rice, sugar, nuts",30,20,sweet
Rabri,"Condensed milk, sugar, spices, nuts",10,45,sweet
Sheera,"Semolina, ghee, nuts, milk",10,25,sweet
Singori,"Khoa, coconut, molu leaf",10,20,sweet
Sohan halwa,"Corn flour, ghee, dry fruits",10,60,sweet
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",-1,60,sweet
Chhena jalebi,"Chhena, sugar, ghee",10,50,sweet
Chhena kheeri,"Chhena, sugar, milk",-1,60,sweet
Chhena poda,"Sugar, chenna cheese",10,45,sweet
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",40,60,sweet
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",25,60,sweet
Ledikeni,"Chhena, sugar, ghee",45,45,sweet
Lyangcha,"Flour, fried milk power, sugar syrup",20,30,sweet
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",10,120,sweet
Mihidana,"Besan flour, sugar, ghee",15,30,sweet
Misti doi,"Milk, jaggery",480,30,sweet
Pantua,"Chhena, sugar, ghee, flour",45,45,sweet
Pithe,"Rice flour, wheat flour",15,35,sweet
Rasabali,"Chenna, sweetened milk",15,30,sweet
Ras malai,"Chhena, reduced milk, pistachio",180,60,sweet
Rasgulla,"Chhena, sugar, cardamom",10,90,sweet
Sandesh,"Milk, sugar, saffron, cardamom",30,20,sweet
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",10,50,sweet
Ariselu,"Rice flour, jaggery, ghee",15,75,sweet
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",5,35,sweet
Chikki,"Peanuts, jaggery",10,20,sweet
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",20,60,sweet
Double ka meetha,"Loaf bread, milk",20,30,sweet
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",10,30,sweet
Kakinada khaja,"Wheat flour, sugar",10,30,sweet
Kuzhi paniyaram,"Black lentils, rice",10,20,sweet
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",5,20,sweet
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",180,60,sweet
Palathalikalu,"Rice flour, milk",10,25,sweet
Poornalu,"Chana dal, jaggery",240,60,sweet
Pongal,"Rice, jaggery, cashews, ghee",5,20,sweet
Pootharekulu,"Rice flour, powdered sugar, ghee",10,60,sweet
Qubani ka meetha,"Apricots, sugar syrup",10,20,sweet
Sheer korma,"Vermicelli pudding, milk",10,20,sweet
Unni Appam,"Rice flour, banana, jaggery, coconut",10,20,sweet
Kajjikaya,"Rice flour, jaggery, coconut",40,15,sweet
Anarsa,"Rice flour, jaggery, khus-khus seeds",10,50,sweet
Basundi,"Sugar, milk, nuts",10,35,sweet
Dhondas,"Cucumber, rava",10,50,sweet
Doodhpak,"Milk, rice, sugar, dry fruits",10,60,sweet
Mahim halwa,"Semolina, sugar",10,25,sweet
Modak,"Rice flour, coconut, jaggery ",10,15,sweet
Shankarpali,"Sugar, ghee, maida flour, semolina",10,35,sweet
Shrikhand,"Curd, sugar, saffron, cardamom",10,720,sweet
Sutar feni,"Maida, sugar, ghee",15,55,sweet
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",10,40,spicy
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",-1,-1,spicy
Chak Hao Kheer,"Rice, milk, sugar, cardamom",240,45,sweet
Galho,"Rice, axone, salt, water, chillies, pork",5,15,spicy
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",10,20,spicy
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",5,20,spicy
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",5,40,spicy
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",10,40,bitter
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",10,40,spicy
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",20,20,spicy
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",20,30,spicy
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",30,120,spicy
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",10,35,spicy
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",20,30,spicy
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",10,10,-1
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",10,35,spicy
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",10,50,spicy
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",120,45,spicy
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",20,30,spicy
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",10,90,spicy
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",30,30,spicy
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",10,60,sweet
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",10,30,spicy
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",20,50,spicy
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",20,30,spicy
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",10,60,spicy
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",30,60,spicy
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",20,30,spicy
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",10,60,spicy
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",20,50,bitter
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",40,20,spicy
Kofta,"Paneer, potato, cream, corn flour, garam masala",20,40,spicy
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",45,25,sweet
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",20,40,spicy
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",10,20,spicy
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",45,60,spicy
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",25,30,spicy
Misi roti,"Whole wheat flour, chickpea flour, green chilies",30,30,spicy
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",10,30,spicy
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",10,30,spicy
Naan,"Whole wheat flour, honey, butter, garlic",60,30,-1
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",25,40,spicy
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",20,40,spicy
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",20,40,spicy
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",20,40,spicy
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",15,2,spicy
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",10,25,sweet
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",5,5,spicy
Paratha,"Wheat flour, butter, potato, coriander",15,45,spicy
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",10,30,spicy
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",500,120,spicy
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",15,90,spicy
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",10,30,-1
Samosa,"Potatoes, green peas, garam masala, ginger, dough",30,30,spicy
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",10,20,spicy
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",20,40,spicy
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",10,30,sweet
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",10,30,spicy
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",240,30,spicy
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",240,30,spicy
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",150,25,spicy
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",30,45,spicy
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",30,45,spicy
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",10,20,spicy
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",360,90,spicy
Idiappam,"Rice flour, hot water, grated coconut",120,30,spicy
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",360,90,spicy
Kanji,"Carrot, yellow mustard, red chilli, black salt",10,45,-1
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",-1,-1,spicy
